head_id,tail_id,longitude,latitude,altitude
151779659,153066427,-95.382821,29.79874,957.0
151779659,152426116,-95.383237,29.798445,921.2
151779659,152136099,-95.382354,29.797764,876.0
151779763,152437059,-95.380082,29.795224,897.0
151779763,152541741,-95.380394,29.796295,877.6
151779763,152541738,-95.379437,29.795578,945.1
152130254,152130257,-95.38526,29.796413,927.3
152130254,152677092,-95.386148,29.796742,957.6
152130254,153295319,-95.386131,29.796048,867.6
152130257,152130265,-95.383325,29.796419,907.0
152130257,152432914,-95.384374,29.796775,962.2
152130257,152432908,-95.384377,29.796075,981.5
152130265,152130268,-95.38188,29.796421,920.4
152130265,152677099,-95.382273,29.796788,915.8
152130265,153295317,-95.382276,29.796078,841.2
152130268,152130280,-95.381155,29.796525,933.3
152130268,152541615,-95.381483,29.796771,954.5
152130268,153233134,-95.381482,29.79575,947.3
152130280,152541615,-95.381157,29.79687,925.2
152130280,152541741,-95.380766,29.796576,888.5
152136099,152677099,-95.382081,29.797287,918.7
152136099,152136103,-95.381865,29.797599,857.9
152136099,152541615,-95.38169,29.797265,915.3
152136103,152707200,-95.381483,29.797786,848.7
152136103,152136106,-95.381838,29.798125,822.9
152136106,152656703,-95.381278,29.798331,855.6
152136106,152136108,-95.381845,29.798806,853.9
152136108,152136110,-95.381849,29.799214,905.8
152136108,152454095,-95.381422,29.799149,942.1
152136110,152136112,-95.381852,29.79956,973.0
152136110,153066427,-95.38234,29.799326,983.5
152136112,152454097,-95.381439,29.799837,1075.5
152205779,152559392,-95.386469,29.790852,831.1
152223474,153353206,-95.378971,29.790577,915.4
152223474,152223479,-95.378578,29.791026,885.1
152223474,152659814,-95.378142,29.790588,992.2
152331933,152432928,-95.384416,29.799246,935.9
152331933,152432917,-95.384446,29.79883,977.6
152331933,152331936,-95.385318,29.79916,928.6
152331936,152943327,-95.386196,29.799493,911.1
152331936,153099498,-95.386183,29.798803,1024.4
152341226,153353206,-95.379768,29.790569,911.0
152341226,153233124,-95.380492,29.790563,902.9
152341226,152341229,-95.380168,29.791056,942.6
152341229,152443827,-95.380566,29.791538,892.0
152341229,152443826,-95.379775,29.791554,949.3
152361419,152361421,-95.377654,29.79406,1007.5
152361419,5387962358,-95.3773,29.794022,1070.0
152361419,152541735,-95.377665,29.794282,1050.0
152361421,152361424,-95.37837,29.794053,911.3
152361421,152659845,-95.377938,29.793577,1009.4
152361421,152541735,-95.377958,29.794279,993.8
152361424,153143260,-95.378797,29.794226,893.4
152361424,153222786,-95.378791,29.793871,859.6
152426116,152432928,-95.384023,29.799048,956.0
152426116,152426120,-95.383621,29.799265,1067.3
152426116,152677096,-95.383836,29.797954,993.3
152432894,152909837,-95.385191,29.792273,901.7
152432894,2889941805,-95.384319,29.792597,875.3
152432894,152433006,-95.384302,29.792238,908.0
152432898,152600240,-95.384719,29.792962,837.6
152432898,152432902,-95.384336,29.793294,834.7
152432898,2889941805,-95.384329,29.792937,853.5
152432902,153312147,-95.383526,29.79363,930.5
152432902,152432904,-95.384345,29.793981,927.6
152432904,152432906,-95.384356,29.794693,1126.5
152432904,153143284,-95.384743,29.79434,1070.2
152432904,153143274,-95.383534,29.794346,1026.1
152432906,153456725,-95.383547,29.795049,1078.7
152432906,152432908,-95.384374,29.795384,1116.2
152432906,153341528,-95.385237,29.795026,1011.8
152432908,153295317,-95.383328,29.795734,912.1
152432908,153295319,-95.385249,29.79571,919.5
152432914,152432917,-95.38441,29.797807,1004.3
152432914,152677096,-95.384194,29.797129,999.3
152432914,152677095,-95.384768,29.79711,963.7
152432917,153099505,-95.384819,29.798479,1033.9
152432928,152541618,-95.384588,29.799586,928.2
152432996,153444951,-95.383226,29.790537,1063.8
152432996,152432997,-95.38431,29.790723,1215.3
152432996,1191806355,-95.384781,29.790663,1115.8
